*** 1 - 10 (/course/185945/spanish-adjectives/1/)	
primero	primary
multicolor	"multicolor, multicolored, motley"
godo	"Gothic, Goth, Spaniard"
agarrado	"stingy, mean, cheek-to-cheek"
viscoso	"viscous, viscid, gooey"
centígrado	"Celsius, centigrade, Centigrade"
etíope	Ethiopian
*** 2641 - 2650 (/course/185945/spanish-adjectives/265/)	
montañés	mountain
nostálgico	"nostalgic, homesick, wishful"
postrado	prostrate
esperanzado	"hopeful, optimistic"
oloroso	"odorous, fragrant"
pelirrojo	redhead
pujante	"booming, thriving"
habitable	"habitable, liveable, livable"
inocuo	"harmless, innocuous"
taciturno	"taciturn, morose, glum"
*** 2651 - 2660 (/course/185945/spanish-adjectives/266/)	
figurativo	"figurative, representational"
incisivo	"incisive, trenchant, sharp"
curtido	"tanned, hardened, experienced"
manufacturado	manufactured
victoriano	Victorian
jeroglífico	hieroglyphic
canino	canine
esforzado	"valiant, vigorous, strong"
descargado	discharged
surcoreano	South Korean
*** 2661 - 2670 (/course/185945/spanish-adjectives/267/)	
poseído	"possessed, driven, obsessed"
omnipresente	omnipresent
tranquilizador	"soothing, reassuring, calming"
macroeconómico	macroeconomic
vengativo	"vengeful, vindictive, retaliatory"
diáfano	"diaphanous, transparent, limpid"
descabellado	"ridiculous, hare-brained, absurd"
consabido	"familiar, aforementioned, well-known"
convexo	convex
anticonceptivo	contraceptive
*** 2671 - 2680 (/course/185945/spanish-adjectives/268/)	
inmovilizado	immobilized
concurrente	"concurrent, joining, uniting"
diversificado	diversified
sacrílego	sacrilegious
enganchado	"hooked, strung out, addicted"
venturoso	"fortunate, happy, venturous"
inmaterial	"immaterial, intangible"
palpitante	"palpitating, throbbing, beating"
axial	axial
reticente	"reticent, reluctant"
*** 2681 - 2690 (/course/185945/spanish-adjectives/269/)	
sensacional	"sensational, great"
haitiano	Haitian
centeno	"ryegrass, rye"
estrepitoso	"loud, uproarious, deafening"
ventral	ventral
relacional	relational
caduco	"deciduous, caducous, perishable"
lucido	"magnificent, splendid, lucid"
conífero	coniferous
cóncavo	concave
*** 2691 - 2700 (/course/185945/spanish-adjectives/270/)	
atascado	mired
acaudalado	"rich, well-to-do, wealthy"
encogido	"shrunken, huddled, crouched"
transgénico	"transgenic, genetically modified"
detector	detecting
discontinuo	"discontinuous, broken"
céltico	Celtic
novelesco	"fictional, fantastic"
impermeable	"impermeable, waterproof, impervious"
chiflado	"crazy, nuts, mad"
*** 2701 - 2710 (/course/185945/spanish-adjectives/271/)	
provocativo	"provocative, sexy, suggestive"
colegial	"collegiate, school, college"
jugoso	"juicy, succulent, colorful"
antipático	"unfriendly, unlikeable, antipathetic"
diocesano	diocesan
extrajudicial	"extrajudicial, out-of-court"
estampado	"print, printed, printing"
selvático	"wild, sylvan"
inanimado	inanimate
talentoso	"talented, gifted"
*** 2711 - 2720 (/course/185945/spanish-adjectives/272/)	
conducente	conducive
repulsivo	"repellent, repulsive, hideous"
inculto	"uncultivated, illiterate, rude"
angélico	angelic
humanístico	humanistic
valido	"favorite, favourite, valid"
herético	"heretic, heretical"
irrevocable	"irrevocable, indefeasible, irreversible"
piramidal	pyramidal
asustadizo	"scary, skittish, scared"
*** 2721 - 2730 (/course/185945/spanish-adjectives/273/)	
neumático	pneumatic
procesional	processional
pausado	"slow, deliberate, easy"
táctil	"tactile, touch"
atestado	"crowded, full, packed"
componente	component
fanático	"fanatical, fanatic, bigot"
sobrecargado	"overloaded, overburdened"
insospechado	unsuspected
bastardo	bastard
*** 2731 - 2740 (/course/185945/spanish-adjectives/274/)	
lastimero	"plaintive, mournful"
presuroso	"quick, hasty, speedy"
zalamero	"smoothie, greasy, flattering"
vienés	Viennese
diagonal	diagonal
parlante	"talking, speaking"
jadeante	"panting, breathless"
magnánimo	magnanimous
álgido	"decisive, critical, freezing"
depurado	"refined, pure"
*** 2741 - 2750 (/course/185945/spanish-adjectives/275/)	
esmerado	"careful, painstaking, neat"
volcado	"capsized, overturned, turned over"
oxidado	"rusty, oxidized, rusted"
malogrado	"late, late lamented, deceased"
circulatorio	circulatory
despótico	"despotic, overbearing, tyrannical"
absolutista	absolutist
incauto	"incautious, unwary, unguarded"
picaresco	"picaresque, roguish, arch"
aconsejado	advised
*** 2751 - 2760 (/course/185945/spanish-adjectives/276/)	
reseco	"arid, parched, skinny"
envolvente	"enveloping, surrounding, covering"
oneroso	"onerous, heavy, burdensome"
tumultuoso	"tumultuous, noisy, riotous"
aluvial	alluvial
embarazoso	"awkward, embarrassing, shameful"
inmaduro	"immature, callow, undeveloped"
sísmico	seismic
improcedente	"unfair, improper, inadmissible"
condensado	condensed
*** 2761 - 2770 (/course/185945/spanish-adjectives/277/)	
subrayado	"underlining, underlined"
satánico	Satanic
soso	"bland, tasteless, dull"
pastor	shepherdess
ilustrativo	"illustrative, explanatory"
deslucido	"tattered, worn, worn out"
retroactivo	"retrospective, backdated"
circunstancial	circumstantial
secuencial	sequential
sexy	"sexy, sex appeal, hot"
*** 2771 - 2780 (/course/185945/spanish-adjectives/278/)	
acogedor	"welcoming, warm, friendly"
predecible	predictable
ecuménico	"ecumenical, oecumenical"
áureo	golden
sepulcral	"sepulchral, hollow, stony"
letón	Latvian
calcáreo	calcareous
ortogonal	orthogonal
alusivo	"allusive, alluding, referring"
concienzudo	"conscientious, thorough, thoroughgoing"
*** 2781 - 2790 (/course/185945/spanish-adjectives/279/)	
polideportivo	multisport
trabajoso	"hard-going, laborious, hard"
inflamado	"swollen, aflame, sore"
vándalo	Vandal
chato	"flat, snub nosed, pug-nosed"
perdurable	"lasting, perdurable, abiding"
urinario	"comfort station, loo, urinary"
ahumado	"smoked, smoky, tinted"
irremediable	"hopeless, irremediable, incurable"
agraciado	"graceful, attractive, good-looking"
*** 2791 - 2800 (/course/185945/spanish-adjectives/280/)	
negado	"hopeless, useless, rubbish"
descontrolado	uncontrolled
resbaladizo	"slippery, touchy, delicate"
contrariado	"annoyed, disgruntled"
burlesco	"burlesque, mock, mocking"
pakistaní	Pakistani
rastrero	"creeping, slithering, squirming"
magnifico	"magnificent, superb, great"
resonante	"resonant, ringing, booming"
zonzo	"idiot, bore, stupid"
*** 2801 - 2810 (/course/185945/spanish-adjectives/281/)	
holgado	"loose, baggy, roomy"
tricolor	tricolor
sugestivo	"suggestive, stimulating"
cancerígeno	"carcinogenic, cancerogenic"
utilizable	usable
infrecuente	"infrequent, few and far between, uncommon"
fornido	"well-built, strapping, hefty"
maxilar	maxillary
disuasorio	"deterrent, dissuasive"
barbudo	bearded
*** 2811 - 2820 (/course/185945/spanish-adjectives/282/)	
proscrito	"proscribed, outcast, outlaw"
concéntrico	"concentric, concentrical"
poquísimo	very little
consentido	"favorite, spoilt, spoiled"
motorizado	"motorized, powered"
fidedigno	"trustworthy, reliable, credible"
inmunológico	"immune, immunological"
antedicho	"above, aforesaid, aforementioned"
mono	"pretty, cute, adorable"
ascético	ascetic
*** 2821 - 2830 (/course/185945/spanish-adjectives/283/)	
basto	"coarse, rude, impolite"
helénico	Hellenic
patricio	patrician
manejable	"manageable, tractable, easy to handle"
enojoso	"annoying, irritating, aggravating"
forastero	"outsider, alien, stranger"
matriculado	"registered, enrolled, licensed"
errado	"wrong, mistaken, amiss"
fulgurante	"stunning, shining, bright"
rayado	"lined, streaky, streaked"
*** 2831 - 2840 (/course/185945/spanish-adjectives/284/)	
veterinario	veterinary
defraudado	disappointed
cabizbajo	"crestfallen, bowed, dejected"
trigésimo	thirtieth
cutáneo	"cutaneous, skin, of the skin"
inflamatorio	inflammatory
expedicionario	expeditionary
barítono	baritone
interurbano	interurban
predestinado	"predestined, fated, doomed"
*** 2841 - 2850 (/course/185945/spanish-adjectives/285/)	
sintomático	symptomatic
codicioso	"greedy, covetous, avaricious"
regresivo	regressive
desfigurado	"contorted, distorted, twisted"
incontestable	"incontestable, unanswerable, unquestioned"
semestral	"biannually, half-year"
peyorativo	"pejorative, derogatory"
expectante	"expectant, excited, eager"
palaciego	"palatial, courtier, palace"
desgarrador	"heartbreaking, heartrending"
*** 2851 - 2860 (/course/185945/spanish-adjectives/286/)	
sazonado	"flavored, seasoned, spiced up"
hediondo	"stinking, smelly, fetid"
irrefutable	"irrefutable, unanswerable, indefensible"
policiaco	"police, detective, crime"
vegetariano	"vegetarian, vegan, veggie"
acoplado	coupled
acostado	"lying, lying down"
trimestral	"quarterly, three-month"
rectángulo	"rectangle, oblong"
malhumorado	"grumpy, surly, peevish"
*** 2861 - 2870 (/course/185945/spanish-adjectives/287/)	
ígneo	igneous
descarnado	"stark, blunt, with all the gory details"
ininteligible	"incomprehensible, unintelligible, illegible"
rezagado	"lagging, laggard, straggler"
verídico	"true, veracious, veridical"
intocable	"untouchable, unaffordable, out of one's price range"
inconmensurable	"immeasurable, incommensurable, incommensurate"
lacustre	lacustrine
pomposo	"pompous, grandiose, overblown"
imposibilitado	helpless
*** 2871 - 2880 (/course/185945/spanish-adjectives/288/)	
ortográfico	orthographic
paleolítico	"paleolithic, palaeolithic"
improductivo	"unproductive, idle, unprofitable"
confesional	denominational
clemente	"merciful, gracious, clement"
reversible	reversible
lerdo	"dull, heavy, oafish"
arcilloso	"clayey, argillaceous"
retrógrado	"retrograde, reactionary, retrogressive"
corrector	"correcting, corrective"
*** 2881 - 2890 (/course/185945/spanish-adjectives/289/)	
abarrotado	"crammed, packed, jammed"
arábigo	"Arabic, Arab"
anecdótico	"anecdotic, anecdotal, anecdotical"
desempleado	"unemployed, jobless, out of work"
aguerrido	"brave, courageous, valiant"
radioactivo	radioactive
paranoico	"paranoiac, paranoid"
depositario	depositary
bullicioso	"boisterous, bustling, rowdy"
corrosivo	"corrosive, acerbic, acid"
*** 2891 - 2900 (/course/185945/spanish-adjectives/290/)	
policíaco	"police, detective, crime"
vacacional	vacation
crustáceo	"crusty, scabby"
testimonial	"testimonial, token, symbolic"
arameo	"Aramean, Aramaean"
enjuto	"lean, spare, skinny"
nadador	swimmer
endocrino	"endocrine, endocrinal"
confederado	confederate
angelical	"angelic, angelical"
*** 2901 - 2910 (/course/185945/spanish-adjectives/291/)	
subalterno	"junior, subordinate, subaltern"
amorfo	"amorphous, shapeless, insipid"
surcado	"furrowed, lined"
bisexual	bisexual
maltés	Maltese
machista	"male chauvinist, macho, sexist"
persuasivo	"persuasive, convincing"
mordaz	"scathing, biting, incisive"
fervoroso	"fervent, earnest, passionate"
herbívoro	"herbivorous, herbivore"
*** 2911 - 2920 (/course/185945/spanish-adjectives/292/)	
gástrico	gastric
baldío	"waste, vain, useless"
antisocial	antisocial
espumoso	"frothy, sparkling, foamy"
copto	Coptic
bestial	"beastly, bestial, brutish"
pecuario	"livestock, cattle"
desposeído	"repossessed, deprived, dispossessed"
convulso	convulsed
idílico	idyllic
*** 2921 - 2930 (/course/185945/spanish-adjectives/293/)	
insulso	"flavourless, bland, flavorless"
neurótico	neurotic
interpersonal	interpersonal
catedral	"huge, monumental"
bailable	"dancey, dance, danceable"
caminante	"hiker, itinerant, wandering"
jocoso	"humorous, jocular, jocose"
reposado	"relaxed, calm"
laborable	"working, work, arable"
regionalista	regionalist
*** 2931 - 2940 (/course/185945/spanish-adjectives/294/)	
leñoso	"woody, ligneous"
ceniciento	"ashy, ashen, ash-gray"
desolador	"horrifying, devastating, distressing"
introductorio	"introductory, induction"
desprevenido	"unprepared, unaware, unready"
escalofriante	"spooky, hair-raising, bloodcurdling"
insalvable	"insuperable, insurmountable"
proteico	protean
sionista	Zionist
estropeado	"spoiled, damaged, ruined"
*** 2941 - 2950 (/course/185945/spanish-adjectives/295/)	
alocado	"crazy, mad, fast"
pecuniario	pecuniary
arbustivo	shrubby
arbolado	"wooded, tree-covered"
mimado	"spoiled, indulged, darling"
rotatorio	rotating
circunscrito	circumscribed
gentilicio	name of a family
inmaculado	"spotless, immaculate, stainless"
absorbente	"absorbent, absorbing, engrossing"
*** 2951 - 2960 (/course/185945/spanish-adjectives/296/)	
pirotécnico	pyrotechnic
tolerable	"tolerable, endurable, bearable"
tradicionalista	traditionalist
acerbo	"acerbic, bitter, harsh"
indolente	"indolent, easygoing, indifferent"
pedregoso	"stony, rocky"
ralo	"thin, scraggly, sparse"
premeditado	"deliberate, premeditated, willful"
hipnótico	hypnotic
intolerante	"intolerant, illiberal, bigot"
*** 2961 - 2970 (/course/185945/spanish-adjectives/297/)	
preestablecido	"pre-establish, established in advance, established beforehand"
acompasado	"deliberate, slow, rhythmical"
ineficiente	inefficient
compulsivo	compulsive
jamaicano	Jamaican
inicuo	"iniquitous, wicked, nefarious"
epistolar	epistolary
ilógico	illogical
arrollador	"overwhelming, devastating, overpowering"
provisorio	"provisional, provisory"
*** 2971 - 2980 (/course/185945/spanish-adjectives/298/)	
sesgado	"biased, slanted, inclined"
insufrible	"insufferable, impossible, unbearable"
zambo	"knock-kneed, bow-legged, bandy legged"
raído	"shabby, frayed, threadbare"
anejo	"annexed to, attached to, joined"
poligonal	polygonal
afeitado	shaven
tramposo	"cheat, crook, cheating"
falaz	"false, untrue, deceitful"
dolido	"hurt, be sorry"
*** 2981 - 2990 (/course/185945/spanish-adjectives/299/)	
desfasado	"out of phase, out-of-fashion, out-of-style"
salesiano	salesian
vívido	"vivid, worldly"
telepático	telepathic
congruente	"congruent, coherent"
norteafricano	North African
perecedero	perishable
insípido	"tasteless, insipid, unsavory"
impresionista	impressionistic
controlable	controllable
*** 2991 - 3000 (/course/185945/spanish-adjectives/300/)	
pequeñito	"tiny, wee, very small"
puritano	"puritanical, puritan, strait-laced"
coqueto	"flirtatious, vain, conceited"
semítico	Semitic
benefactor	"welfare, beneficent"
cafetero	"coffee lover, coffee"
desvalido	"helpless, defenseless, defenceless"
libertino	"libertine, profligate, rakish"
conjugado	conjugate
telegráfico	telegraphic
*** 3001 - 3010 (/course/185945/spanish-adjectives/301/)	
traicionero	"treacherous, traitorous, disloyal"
ramificado	ramified
intranquilo	"restless, uneasy, worried"
unifamiliar	single-family
mortuorio	mortuary
tedioso	"tedious, boring, wearisome"
transportista	"shipping, haulage"
sabido	"known, understood, intelligent"
enseñado	"taught, learned, trained"
fatigoso	"fatiguing, tiring, labored"
*** 3011 - 3020 (/course/185945/spanish-adjectives/302/)	
quebrantado	disrupted
desarticulado	disjointed
inclusivo	inclusive
craneal	cranial
indigente	"destitute, indigent, needy"
desacreditado	disreputable
empedrado	"paved, overcast, cloudy"
perentorio	"peremptory, imperative, assertive"
desorbitado	"disproportionate, excessive, exorbitant"
estereotipado	"stereotyped, clichéd"
*** 3021 - 3030 (/course/185945/spanish-adjectives/303/)	
hervido	boiled
climatológico	climatological
irrepetible	"once-in-a-lifetime, unrepeatable, one-off"
correctivo	corrective
agotador	"exhausting, strenuous, grueling"
punitivo	punitive
meticuloso	"meticulous, thorough, precise"
fenomenal	"phenomenal, awesome, amazing"
redundante	"redundant, superfluous, extra"
hexagonal	hexagonal
*** 3031 - 3040 (/course/185945/spanish-adjectives/304/)	
precavido	"cautious, thoughtful, prudent"
itálico	italic
resentido	"resentful, sullen, bitter"
calvo	"bald, hairless, without hair"
homérico	Homeric
sudoroso	"sweaty, sweating, perspiring"
degenerado	"degenerate, depraved, corrupt"
hispanohablante	"Spanish speaker, Spanish-speaking"
demente	"insane, demented, mad"
soñoliento	"drowsy, sleepy, somnolent"
*** 3041 - 3050 (/course/185945/spanish-adjectives/305/)	
goloso	"greedy, gourmand, sweet"
antológico	anthological
tétrico	"dismal, baleful, gloomy"
solícito	"solicitous, thoughtful"
violáceo	violet
fibroso	"fibrous, stringy"
innoble	ignoble
conectivo	connective
zurdo	"lefty, left-handed person, left-handed"
provenzal	Provencal
*** 3051 - 3060 (/course/185945/spanish-adjectives/306/)	
imperdonable	"unforgivable, unpardonable, inexcusable"
quejumbroso	"whining, complaining, querulous"
decimocuarto	fourteenth
anacrónico	anachronistic
alcalino	alkaline
contributivo	"contributory, tax"
legible	"readable, legible"
sacramental	sacramental
decimotercero	thirteenth
imputable	"traceable, chargeable, attributable"
*** 3061 - 3070 (/course/185945/spanish-adjectives/307/)	
chistoso	"funny, amusing, entertaining"
anfibio	"amphibian, amphibious"
límpido	limpid
virulento	"virulent, vicious"
agachado	bending over
incapacitado	"disabled, incapable, helpless"
avariento	miserly
narcótico	"narcotic, drug"
desanimado	"discouraged, downhearted, despondent"
discrecional	discretionary
*** 3071 - 3080 (/course/185945/spanish-adjectives/308/)	
interrogativo	"questioning, interrogative"
polifacético	all-round
inciso	"curt, precise"
novato	"rookie, novice, inexperienced"
supersónico	supersonic
diplomado	"certified, trained"
intercalado	inserted
malayo	"Malay, Malayan"
malparado	damaged
cultivable	"cultivable, arable, farmable"
*** 3081 - 3090 (/course/185945/spanish-adjectives/309/)	
estimable	"estimable, appreciable, reputable"
abovedado	"vaulted, domed, arched"
ondulante	"wavy, billowy, vibratory"
viciado	"tainted, stale, contaminated"
moralizador	"moralizing, moralistic, moralist"
equino	equine
plateresco	plateresque
atolondrado	"reckless, scatterbrained, harebrained"
bautismal	baptismal
predispuesto	predisposed
*** 3091 - 3100 (/course/185945/spanish-adjectives/310/)	
centrífugo	centrifugal
leguminoso	leguminous
proverbial	proverbial
hawaiano	Hawaiian
negruzco	blackish
azaroso	"hazardous, risky, timid"
expedito	"free, clear, unobstructed"
adhesivo	adhesive
cursivo	cursive
cuadrúpedo	"quadrupedal, quadruped"
*** 3101 - 3110 (/course/185945/spanish-adjectives/311/)	
pluralista	"pluralistic, diverse"
enajenado	"deranged, demented, insane"
gélido	"icy, gelid"
intercambiable	interchangeable
laureado	"laureate, prizewinner, prize-winning"
abigarrado	"mottled, motley, brindle"
unicelular	unicellular
extensible	"extensible, tensile, extendible"
malsano	"unhealthy, morbid, sickly"
refrigerado	"refrigerated, cooled"
*** 3111 - 3120 (/course/185945/spanish-adjectives/312/)	
siberiano	Siberian
estoico	"stoical, Stoic"
parabólico	"parabolic, parabolical"
irrisorio	"derisory, derisive, risible"
testarudo	"stubborn, pig-headed"
cursado	taken
furibundo	"furious, livid, enraged"
irascible	"irascible, testy, tetchy"
irreflexivo	"unthinking, thoughtless, unreflecting"
paritario	"equally divided, equally represented"
*** 3121 - 3130 (/course/185945/spanish-adjectives/313/)	
terso	"smooth, unwrinkled, polished"
hosco	"sullen, surly, dark"
longevo	"long-lived, long-standing"
evasivo	evasive
polifónico	polyphonic
cuaternario	quaternary
ufano	"conceited, vain, pleased with oneself"
lila	"lilac, dumb, stupid"
signatario	signatory
lóbrego	"gloomy, murky, dark"
*** 3131 - 3140 (/course/185945/spanish-adjectives/314/)	
indómito	"indomitable, unbroken, untamed"
refractario	"refractory, ovenproof, oven-proof"
inductivo	inductive
telonero	support
demostrativo	"demonstrative, indicative"
inyectado	injected
unívoco	"unambiguous, univocal"
colérico	"choleric, angry, irate"
contrarrevolucionario	counterrevolutionary
chalado	"crazy, mad, dotty"
*** 3141 - 3150 (/course/185945/spanish-adjectives/315/)	
sulfúrico	sulfuric
imperecedero	"undying, imperishable, immortal"
consolador	"consoling, comforting"
automotor	"automotive, car, self-propelled"
exorbitante	exorbitant
aparatoso	"ostentatious, spectacular, showy"
vinícola	wine
elitista	"elite, exclusive, elitist"
avezado	experienced
mesiánico	messianic
*** 3151 - 3160 (/course/185945/spanish-adjectives/316/)	
crepuscular	"crepuscular, twilight, of dusk"
escabroso	"rough, rugged, scabrous"
clamoroso	"clamorous, roaring, howling"
acotado	"enclosed, fenced in"
fortísimo	fortissimo
varado	"stranded, aground, man without a regular job"
desaforado	"huge, enormous, boundless"
seglar	"lay, secular, layman/laywoman"
recargado	"leaning on, leaning against, dripping"
fangoso	"muddy, dangerous, murky"
*** 3161 - 3170 (/course/185945/spanish-adjectives/317/)	
avícola	poultry
electivo	elective
ejecutable	"executable, enforceable, feasible"
decoroso	"decorous, dignified, seemly"
mareado	"dizzy, giddy, queasy"
interestatal	interstate
ostentoso	"ostentatious, swanky, flashy"
tempestuoso	"tempestuous, stormy, blustery"
trillado	"trite, hackneyed, threadbare"
censor	censorial
*** 3171 - 3180 (/course/185945/spanish-adjectives/318/)	
cognoscitivo	cognitive
lascivo	"lascivious, lecherous, lewd"
modulado	modulated
ominoso	"ominous, awful, dreadful"
empañado	"tarnished, blurred, steamy"
mallorquín	Majorcan
fehaciente	"reliable, irrefutable"
pasmado	"stunned, aghast, thunderstruck"
eufórico	"exuberant, euphoric, ecstatic"
desalmado	heartless
*** 3181 - 3190 (/course/185945/spanish-adjectives/319/)	
embriagado	"intoxicated, drunk"
henchido	puffed
enésimo	"umpteenth, zillionth, bazillionth"
amplificador	amplifying
condicionante	conditioning
mórbido	"morbid, diseased"
sangrante	bleeding
irreverente	"irreverent, disrespectful"
negociable	"negotiable, marketable"
inapreciable	"priceless, precious, inappreciable"
*** 3191 - 3200 (/course/185945/spanish-adjectives/320/)	
castizo	"pure, pure-blood, born-and-bred"
arqueado	arcuate
fracasado	"failed, unsuccessful, failure"
inhóspito	inhospitable
justiciero	law-abiding
fruncido	"frunce, gathered, pleated"
ultramarino	ultramarine
paradigmático	paradigmatic
iracundo	"wrathful, ireful, wroth"
taquillero	"box-office draw, box-office earner"
*** 3201 - 3210 (/course/185945/spanish-adjectives/321/)	
curricular	"educational, curricular"
sincrónico	"synchronous, concurrent, simultaneous"
pertinaz	"pertinacious, obstinate, persistent"
avisado	"switched on, tuned in, sensible"
dimensional	dimensional
esclavizado	enslaved
sefardí	Sephardic
filológico	"philological, philologic"
caucásico	Caucasian
aciago	"fateful, unlucky, ill-omened"
*** 3211 - 3220 (/course/185945/spanish-adjectives/322/)	
adicto	addicted
autógrafo	autographic
movible	"movable, moveable, mobile"
exploratorio	"exploratory, explorative"
pasmoso	"staggering, astounding, stunning"
punible	punishable
azorado	"upset, amazed, stunned"
radiológico	radiologic
aberrante	"aberrant, abnormal, strange"
enfático	"emphatic, pointed, forceful"
*** 3221 - 3230 (/course/185945/spanish-adjectives/323/)	
iónico	ionic
palatino	palatine
neural	neural
bipolar	bipolar
juliano	Julian
soportable	"bearable, endurable, livable"
ventoso	"windy, breezy, burglar"
opa	"dumb, stupid"
postizo	"false, artificial, dummy"
geodésico	geodesic
*** 3231 - 3240 (/course/185945/spanish-adjectives/324/)	
granítico	granitic
pétreo	"stony, petrous, rocky"
perito	"experienced, qualified, proficient"
minimalista	minimalist
frigio	Phrygian
espiral	"spiral, coiled"
vetusto	ancient
explicable	"explicable, explainable, accountable"
laxo	"lax, relaxed, loose"
destartalado	"ramshackle, tacky, shabby"
*** 3241 - 3250 (/course/185945/spanish-adjectives/325/)	
genealógico	genealogical
embustero	liar
allegado	related
adúltero	adulterous
contrabandista	"contraband, smuggled, bootleg"
adusto	"grim, forbidding, gaunt"
abyecto	"abject, wretched"
correlativo	"correlative, consecutive, corresponding"
púnico	Punic
sustancioso	"meaty, solid, juicy"
*** 3251 - 3260 (/course/185945/spanish-adjectives/326/)	
pulcro	"neat, trim, tidy"
sarraceno	Saracen
infecto	"infected, tainted, foul"
justificable	justifiable
ensimismado	"lost in thought, daydreaming, engrossed"
intempestivo	"ungodly, unearthly, unseasonable"
desparramado	"adj, spread, scattered"
intachable	"impeccable, irreproachable, faultless"
lumbar	lumbar
rampante	rampant
*** 3261 - 3270 (/course/185945/spanish-adjectives/327/)	
amargado	"embittered, bitter, become bitter"
puto	"bleedin', bloody, damned"
condensador	condensing
indeleble	indelible
ostensible	"obvious, evident"
retraído	"shy, withdrawn"
gastrointestinal	gastrointestinal
jubilado	"retired, pensioner"
miedoso	"fearful, funky, nervous"
esponjoso	"spongy, foamy, porous"
*** 3271 - 3280 (/course/185945/spanish-adjectives/328/)	
empedernido	"inveterate, confirmed, habitual"
astrológico	"astrological, astrologic"
mamario	mammary
litigioso	litigious
realizable	"realizable, achievable, feasible"
coetáneo	"coeval, contemporary, coetaneous"
enciclopédico	"encyclopedic, encyclopaedic"
colado	smitten
agustino	Augustinian
bípedo	"biped, bipedal"
*** 3281 - 3290 (/course/185945/spanish-adjectives/329/)	
mesurado	"measured, moderate, adj"
adiestrado	trained
intravenoso	intravenous
rectilíneo	"rectilinear, rectilineal"
analgésico	"analgesic, soothing"
convulsivo	convulsive
hidalgo	gentlemanly
germinal	germinal
oblongo	oblong
primoroso	"exquisite, elaborate, neat"
*** 3291 - 3300 (/course/185945/spanish-adjectives/330/)	
halagüeño	"flattering, attractive, pleasing"
poroso	porous
condescendiente	"agreeable, amenable, condescending"
somático	somatic
polinesio	Polynesian
cavado	tend
ranchero	"country, farm, farmhouse"
cirílico	Cyrillic
condenatorio	condemnatory
conspicuo	"conspicuous, eminent, notable"
*** 3301 - 3310 (/course/185945/spanish-adjectives/331/)	
expositivo	"expository, expositive"
heterodoxo	"heterodox, unorthodox"
incumplido	"breached, unreliable"
auricular	"auricular, of the ear"
colector	collecting
ladino	"cunning, crafty"
oleaginoso	oily
antitanque	antitank
moscovita	Muscovite
jacobino	Jacobean
*** 3311 - 3320 (/course/185945/spanish-adjectives/332/)	
maléfico	"malevolent, malignant, maleficent"
canceroso	cancerous
laminado	"laminate, laminated, laminar"
añejo	"old, vintage, mature"
virreinal	viceregal
indeseado	"unwanted, adj"
anhelante	"eager, longing, yearning"
intransitable	impassable
epiléptico	epileptic
megalítico	megalithic
*** 3321 - 3330 (/course/185945/spanish-adjectives/333/)	
irreconocible	"unrecognizable, unrecognisable"
alejandrino	Alexandrine
estanco	"watertight, bodega, corner store"
intercontinental	intercontinental
vocálico	vocalic
adaptable	adaptable
alucinógeno	hallucinogenic
fluorescente	"fluorescent, fluorescent tube"
antropomórfico	anthropomorphic
escamoso	"flaky, scaly, scaled"
*** 3331 - 3340 (/course/185945/spanish-adjectives/334/)	
perceptivo	"perceptive, perceptual"
magro	"lean, loin"
freudiano	Freudian
meloso	"mellow, honeyed, sweet"
neurálgico	"neuralgic, most important, crucial"
vuelto	change
kantiano	Kantian
misceláneo	miscellaneous
diminutivo	diminutive
aborrecido	"abhorred, hateful"
*** 3341 - 3350 (/course/185945/spanish-adjectives/335/)	
distributivo	distributive
íbero	Iberian
antropomorfo	anthropomorphous
desventurado	"hapless, unfortunate, unlucky"
monoteísta	monotheistic
pitagórico	Pythagorean
aventurado	"risky, adventurous"
somero	"surface, shallow, summary"
dórico	Doric
nebuloso	"nebulous, misty, foggy"
*** 3351 - 3360 (/course/185945/spanish-adjectives/336/)	
solapado	"underhanded, false, secretive"
acelerador	accelerating
intrascendente	"adj, trivial"
canoso	hoary
estruendoso	"loud, thunderous, uproarious"
lectivo	school
abnegado	"selfless, self-sacrificing"
desorganizado	disorganized
axilar	axillary
salobre	"brackish, salty"
*** 3361 - 3370 (/course/185945/spanish-adjectives/337/)	
concordante	"concordant, in agreement"
crédulo	"credulous, gullible"
deductivo	deductive
refrigerante	"cooling, refrigerant"
insidioso	insidious
inconexo	"unrelated, disjointed, disconnected"
ignoto	unknown
arsénico	"arsenic, arsenical"
gacho	"bowed, down, bent down"
rococó	rococo
*** 3371 - 3380 (/course/185945/spanish-adjectives/338/)	
gutural	"throaty, guttural"
despachado	dispatched
quimérico	"chimerical, impossible, unattainable"
estriado	"fluted, grooved, fluting"
abstraído	"abstracted, preoccupied, absorbed"
encapuchado	"hooded, masked"
bronceado	"tanned, bronzed, bronze"
inexplorado	"unexplored, uncharted"
dietético	"dietetic, dietary, dietitian"
alienado	"deranged, insane"
*** 3381 - 3390 (/course/185945/spanish-adjectives/339/)	
menstrual	menstrual
habilidoso	skilled
apilado	stacking
diluido	"dilute, diluted"
equidistante	equidistant
lisonjero	"flattering, complimentary, flatterer"
boquiabierto	open-mouthed
lubricante	"lubricating, lubricant"
grasiento	"oily, greasy, fat"
presuntuoso	"pretentious, presumptuous, conceited"
*** 3391 - 3400 (/course/185945/spanish-adjectives/340/)	
prismático	prismatic
