*** 1 - 10 (/course/187382/spanish-adverbs-7/1/)	
no	"no, not"
memorablemente	memorably
monumentalmente	monumentally
bulliciosamente	"noisily, boisterously, busily"
*** 1621 - 1630 (/course/187382/spanish-adverbs-7/163/)	
fenomenológicamente	phenomenologically
problemáticamente	problematically
repetitivamente	repetitively
vacilantemente	tentatively
imperdonablemente	"unforgivably, unpardonably, inexcusably"
variablemente	variably
malísimamente	"very badly, dreadfully"
virulentamente	virulently
fastidiosamente	"annoyingly, painfully"
anómalamente	anomalously
*** 1631 - 1640 (/course/187382/spanish-adverbs-7/164/)	
clarividentemente	clairvoyantly
decorativamente	decoratively
demostrablemente	demonstrably
perdurablemente	"eternally, perpetually"
hegemónicamente	hegemonically
inmortalmente	immortally
indecorosamente	"indecorously, indecently"
indeterminadamente	indeterminately
inexactamente	"inexactly, inaccurately"
inteligiblemente	intelligibly
*** 1641 - 1650 (/course/187382/spanish-adverbs-7/165/)	
numerosamente	numerously
obscuramente	obscurely
opresivamente	oppressively
portentosamente	portentously
preliminarmente	preliminarily
proporcionadamente	proportionately
rechupete	"splendidly, jolly well"
empecinadamente	"stubbornly, pig-headedly"
traumáticamente	traumatically
inciertamente	uncertainly
*** 1651 - 1660 (/course/187382/spanish-adverbs-7/166/)	
incontroladamente	uncontrollably
imprevisiblemente	unpredictably
urbanamente	urbanely
vectorialmente	vectorially
donosamente	"wittily, amusingly"
acumulativamente	accumulatively
angelicalmente	angelically
aristocráticamente	aristocratically
cruentamente	"bloodily, with effusion of blood"
desesperantemente	desperately
*** 1661 - 1670 (/course/187382/spanish-adverbs-7/167/)	
desconfiadamente	"diffidently, mistrustfully"
suciamente	"dirtily, filthily"
desconcertantemente	disconcertingly
inmejorablemente	"excellently, superbly"
fructíferamente	fruitfully
fructuosamente	fruitfully
genealógicamente	genealogically
grácilmente	gracefully
privilegiadamente	in a privileged manner
validamente	in a solid or binding manner
*** 1671 - 1680 (/course/187382/spanish-adverbs-7/168/)	
testimonialmente	in testimony
irrisoriamente	laughably
malintencionadamente	maliciously
matrimonialmente	maritally
metálicamente	metallically
desacertadamente	"mistakenly, erroneously, wrongly"
perspicazmente	perceptively
reconociblemente	recognizably
respetablemente	respectably
tumultuariamente	tumultuously
*** 1681 - 1690 (/course/187382/spanish-adverbs-7/169/)	
desusadamente	"unusually, out of use, contrary to custom"
viciosamente	viciously
apáticamente	apathetically
arcaicamente	archaically
audiblemente	audibly
embarazosamente	"awkwardly, inconveniently"
capciosamente	captiously
colosalmente	colossally
contingentemente	contingently
delirantemente	deliriously
*** 1691 - 1700 (/course/187382/spanish-adverbs-7/170/)	
egregiamente	egregiously
eróticamente	erotically
eruditamente	eruditely
chistosamente	"facetiously, wittily, merrily"
fácticamente	factually
femeninamente	femininely
guagua	"free, for nothing"
glacialmente	"icily, stonily, frostily"
inmutablemente	immutably
utópicamente	in a utopian way
*** 1701 - 1710 (/course/187382/spanish-adverbs-7/171/)	
destempladamente	intemperately
maniáticamente	maniacally
posicionalmente	positionally
pretenciosamente	pretentiously
sofisticadamente	sophisticatedly
ingratamente	ungratefully
irrazonablemente	unreasonably
vicariamente	vicariously
volublemente	volubly
anacrónicamente	anachronistically
*** 1711 - 1720 (/course/187382/spanish-adverbs-7/172/)	
climatológicamente	climatologically
conformemente	conformally
congénitamente	congenitally
consumadamente	consummately
contiguamente	contiguously
criogénicamente	cryogenically
diacrónicamente	diachronically
dispersamente	dispersedly
exóticamente	exotically
guturalmente	gutturally
*** 1721 - 1730 (/course/187382/spanish-adverbs-7/173/)	
humillantemente	humiliatingly
idiotamente	idiotically
impertinentemente	impertinently
sectariamente	in a sectarian way
letalmente	lethally
neutralmente	neutrally
servicialmente	"obsequiously, serviceably"
pastoralmente	pastorally
pecuniariamente	pecuniary
perseverantemente	perseveringly
*** 1731 - 1740 (/course/187382/spanish-adverbs-7/174/)	
promiscuamente	promiscuously
radiantemente	radiantly
residualmente	residually
sentidamente	"sincerely, with great feeling, regretfully"
superfluamente	superfluously
táctilmente	tactilely
venenosamente	venomously
articuladamente	articulately
autodidácticamente	autodidactically
barrocamente	baroquely
*** 1741 - 1750 (/course/187382/spanish-adverbs-7/175/)	
lisamente	"evenly, smoothly"
desorbitadamente	exorbitantly
frescamente	"freshly, recently, lately"
incestuosamente	incestuously
intersubjetivamente	intersubjectively
litúrgicamente	liturgically
omnipotentemente	omnipotently
escépticamente	skeptically
espaciosamente	spaciously
voluntariosamente	"spontaneously, selfishly"
*** 1751 - 1760 (/course/187382/spanish-adverbs-7/176/)	
sibilinamente	subtly
tangiblemente	tangibly
vacuamente	vacuously
rapidísimamente	very rapidly
volcánicamente	volcanically
axiomáticamente	axiomatically
biográficamente	biographically
cerebralmente	cerebrally
complejamente	complexly
desafiantemente	defiantly
*** 1761 - 1770 (/course/187382/spanish-adverbs-7/177/)	
discontinuamente	discontinuously
epistolarmente	epistolary
eufóricamente	euphorically
exorbitantemente	exorbitantly
célebremente	famously
grandilocuentemente	grandiloquently
crasamente	"grossly, rudely"
hipnóticamente	hypnotically
inmoralmente	immorally
imposiblemente	impossibly
*** 1771 - 1780 (/course/187382/spanish-adverbs-7/178/)	
caricaturescamente	in a caricatured way
industriosamente	industriously
injuriosamente	injuriously
jesuíticamente	jesuitically
lozanamente	luxuriantly
meteorológicamente	meteorologically
opulentamente	opulently
paradigmáticamente	paradigmatically
pedantescamente	pedantically
perniciosamente	perniciously
*** 1781 - 1790 (/course/187382/spanish-adverbs-7/179/)	
predeciblemente	predictably
vengativamente	revengefully
tempestuosamente	stormily
estudiosamente	studiously
subordinadamente	subordinately
superabundantemente	superabundantly
sobrehumanamente	superhumanly
testamentariamente	testamentary
unidamente	unitedly
virginalmente	virginally
*** 1791 - 1800 (/course/187382/spanish-adverbs-7/180/)	
augustamente	augustly
bienalmente	biennially
conyugalmente	conjugally
contemplativamente	contemplatively
corruptamente	corruptly
deleitosamente	delightfully
ergonómicamente	ergonomically
escatológicamente	eschatologically
lisonjeramente	flattering
fugitivamente	fleetingly
*** 1801 - 1810 (/course/187382/spanish-adverbs-7/181/)	
generacionalmente	generationally
fantasmalmente	ghostly
gnoseológicamente	gnoseologically
hambrientamente	hungrily
inmodestamente	immodestly
inmunológicamente	immunologically
totalitariamente	in a totalitarian way
ineptamente	ineptly
inercialmente	inertially
inseguramente	insecurely
*** 1811 - 1820 (/course/187382/spanish-adverbs-7/182/)	
instructivamente	instructively
interpretativamente	interpretively
magnificamente	"magnificently, splendidly, royally"
sesudamente	"maturely, wisely, prudently"
melodramáticamente	melodramatically
militantemente	militantly
funestamente	mournfully
nocturnamente	nocturnally
pasionalmente	passionately
permisivamente	permissively
*** 1821 - 1830 (/course/187382/spanish-adverbs-7/183/)	
postreramente	posthumously
presencialmente	presently
principescamente	princely
profanamente	profanely
robustamente	robustly
sensacionalmente	sensationally
desapaciblemente	"sharply, disagreeably"
sintagmáticamente	syntagmatically
indeliberadamente	unintentionally
aberrantemente	aberrantly
*** 1831 - 1840 (/course/187382/spanish-adverbs-7/184/)	
biométricamente	biometrically
capazmente	"capaciously, amply"
gruesamente	"coarsely, grossly"
dedicadamente	devotedly
diminutamente	dimunitively
excéntricamente	eccentrically
ecuménicamente	ecumenically
electroquímicamente	electrochemically
ejecutivamente	executively
incidentemente	incidentally
*** 1841 - 1850 (/course/187382/spanish-adverbs-7/185/)	
indivisiblemente	indivisibly
novelescamente	novelistically
ocularmente	ocularly
opacamente	opaquely
petulantemente	petulantly
preocupadamente	prejudicedly
quijotescamente	quixotically
reversiblemente	reversibly
tempestivamente	"seasonably, opportunely"
especularmente	specularly
*** 1851 - 1860 (/course/187382/spanish-adverbs-7/186/)	
acérrimamente	strenuously
desventuradamente	"unhappily, unfortunately"
improbablemente	unlikely
antinaturalmente	unnaturally
viscosamente	viscously
encendidamente	"vividly, ardently, efficaciously"
antagónicamente	antagonistically
asexuadamente	asexually
descompuestamente	"audaciously, impudently, insolently"
autorizadamente	authoritatively
*** 1861 - 1870 (/course/187382/spanish-adverbs-7/187/)	
malas	"badly, poorly, wrong"
cáusticamente	caustically
celestialmente	celestially
carismáticamente	charismatically
connaturalmente	connaturally
empáticamente	empathically
fascinantemente	fascinatingly
líquidamente	fluidly
lustrosamente	glossily
hipostáticamente	hypostatically
*** 1871 - 1880 (/course/187382/spanish-adverbs-7/188/)	
simuladamente	in a dissembling or hypocritical manner
incontinentemente	incontinently
inspiradamente	inspirationally
inválidamente	invalidly
libidinosamente	libidinously
lujuriosamente	"lustfully, lecherously"
onomatopéyicamente	onomatopoeiaticly
fálicamente	phallically
farisaicamente	pharisaically
prenatalmente	prenatally
*** 1881 - 1890 (/course/187382/spanish-adverbs-7/189/)	
lucrativamente	"profitably, lucratively"
reducidamente	reductively
turbulentamente	restlessly
descomedidamente	"rudely, coarsely, unmannerly"
suculentamente	succulently
llorosamente	"tearfully, weepingly"
triangularmente	triangularly
umbilicalmente	umbilically
infielmente	unfaithfully
modestísimamente	very modestly
*** 1891 - 1900 (/course/187382/spanish-adverbs-7/190/)	
flacamente	"weakly, languidly"
acusatoriamente	accusingly
anafóricamente	anaphorically
aspectualmente	aspectually
asfixiantemente	asphyxiatingly
corresponsablemente	co-responsibility
contentamente	contentedly
demoníacamente	demonically
expectantemente	expectantly
floridamente	floridly
*** 1901 - 1910 (/course/187382/spanish-adverbs-7/191/)	
galvánicamente	galvanically
gubernativamente	governmentally
titubeantemente	"haltingly, hesitantly"
esclarecidamente	"illustriously, conspicuously"
impuramente	impurely
folclóricamente	in a folkloric way
inaccesiblemente	inaccessibly
indómitamente	indomitably
infaustamente	infamously
insanamente	insanely
*** 1911 - 1920 (/course/187382/spanish-adverbs-7/192/)	
insustancialmente	insubstantially
insufriblemente	insufferably
irredimiblemente	irredeemably
maestramente	masterfully
melifluamente	mellifluously
ministerialmente	ministerially
orientalmente	orientally
posesivamente	possessively
presuntivamente	presumptively
proteolíticamente	proteolytically
*** 1921 - 1930 (/course/187382/spanish-adverbs-7/193/)	
quejosamente	querulously
cuestionablemente	questionably
andrajosamente	raggedly
resolutamente	resolutely
resonantemente	resonantly
escabrosamente	"salaciously, naughtily, obscenely"
sepulcralmente	sepulchrally
quedo	"softly, quietly"
sórdidamente	sordidly
afligidamente	"sorrowfully, grievously"
*** 1931 - 1940 (/course/187382/spanish-adverbs-7/194/)	
empeñadamente	strenuously
subcutáneamente	subcutaneously
venerablemente	venerably
venialmente	venially
aventureramente	adventurously
alostéricamente	allosterically
anticiclónicamente	anticyclonically
amén	as well as
sosamente	"blandly, insipidly, tastelessly"
circunferencialmente	circumferentially
*** 1941 - 1950 (/course/187382/spanish-adverbs-7/195/)	
clericalmente	clerically
cosméticamente	cosmetically
decimalmente	decimally
diatónicamente	diatonically
disyuntivamente	disjunctively
fiduciariamente	fiduciary
fraccionariamente	fractionally
imponderablemente	imponderably
cacofónicamente	in a cacophonic way
incesablemente	incessantly
*** 1951 - 1960 (/course/187382/spanish-adverbs-7/196/)	
inclusivamente	inclusively
inocuamente	innocuously
recomendablemente	laudably
laudablemente	laudably
medicalmente	medically
metalingüísticamente	metalinguistically
medidamente	moderately
operatoriamente	operatively
ostensivamente	ostensively
fisiopatológicamente	pathophysiological
*** 1961 - 1970 (/course/187382/spanish-adverbs-7/197/)	
perplejamente	perplexingly
pontificalmente	pontifically
precipitosamente	precipitously
prescriptivamente	prescriptively
propiciamente	propitioiusly
psiquiátricamente	psychiatrically
reaccionariamente	reactionary
resolutivamente	resolutely
ruralmente	rurally
sismológicamente	seismically
*** 1971 - 1978 (/course/187382/spanish-adverbs-7/198/)	
sobreabundantemente	super-abundantly
suspicazmente	suspiciously
triunfantemente	triumphantly
truculentamente	truculently
explicablemente	understandably
vociferantemente	vociferously
blancamente	whitely
zoológicamente	zoological
